DATA,STAGIONE,ANNO,STATO_RESIDENZA,Totale
200510,AUTUNNO,2005,CANADA,2574.64477578
200510,AUTUNNO,2005,"CECA, REPUBBLICA",905.686458333
200510,AUTUNNO,2005,CINA REP.POP.,1551.25283019
200510,AUTUNNO,2005,DANIMARCA,1532.12910112
200510,AUTUNNO,2005,FINLANDIA,1246.05
200510,AUTUNNO,2005,FRANCIA,1038.83408078
200510,AUTUNNO,2005,GERMANIA,1086.43335786
200510,AUTUNNO,2005,GIAPPONE,2364.57047619
200510,AUTUNNO,2005,GRECIA,1138.21462025
200510,AUTUNNO,2005,INDIA,960.322025641
200510,AUTUNNO,2005,IRLANDA,1153.84112088
200510,AUTUNNO,2005,MESSICO,3314.21018182
200510,AUTUNNO,2005,NORVEGIA,1705.20644928
200510,AUTUNNO,2005,OLANDA,1216.10671937
200510,AUTUNNO,2005,POLONIA,1155.05714286
200510,AUTUNNO,2005,PORTOGALLO,1582.33
200510,AUTUNNO,2005,REGNO UNITO,1016.66417988
200510,AUTUNNO,2005,ROMANIA,1495.91841121
200510,AUTUNNO,2005,RUSSIA,2947.95536364
200510,AUTUNNO,2005,"SLOVACCA, REPUBBLICA",1061.14586207
200510,AUTUNNO,2005,SLOVENIA,127.414545455
200510,AUTUNNO,2005,SPAGNA,1296.21860976
200510,AUTUNNO,2005,STATI UNITI D'AMERICA,3072.42544312
200510,AUTUNNO,2005,SVEZIA,1178.58575472
200510,AUTUNNO,2005,SVIZZERA,716.684371014
200510,AUTUNNO,2005,UNGHERIA,672.835714286
200511,AUTUNNO,2005,ARGENTINA,2215.19554386
200511,AUTUNNO,2005,AUSTRALIA,3429.04159204
200511,AUTUNNO,2005,AUSTRIA,785.306885246
200511,AUTUNNO,2005,BELGIO,821.157096774
200511,AUTUNNO,2005,BRASILE,2393.19019444
200511,AUTUNNO,2005,CANADA,1869.27426154
200511,AUTUNNO,2005,"CECA, REPUBBLICA",916.932346939
200511,AUTUNNO,2005,CINA REP.POP.,2372.79666667
200511,AUTUNNO,2005,DANIMARCA,1316.83073171
200511,AUTUNNO,2005,FINLANDIA,803.860526316
200511,AUTUNNO,2005,FRANCIA,893.131695447
200511,AUTUNNO,2005,GERMANIA,921.134192308
200511,AUTUNNO,2005,GIAPPONE,2695.56006299
200511,AUTUNNO,2005,GRECIA,936.602592593
200511,AUTUNNO,2005,INDIA,921.320666667
200511,AUTUNNO,2005,IRLANDA,1354.00703704
200511,AUTUNNO,2005,MESSICO,3092.72117647
200511,AUTUNNO,2005,NORVEGIA,1509.797
200511,AUTUNNO,2005,OLANDA,956.188484848
200511,AUTUNNO,2005,POLONIA,961.142626374
200511,AUTUNNO,2005,PORTOGALLO,1449.17111111
200511,AUTUNNO,2005,REGNO UNITO,920.371366292
200511,AUTUNNO,2005,ROMANIA,1341.5699009
200511,AUTUNNO,2005,RUSSIA,1922.50263043
200511,AUTUNNO,2005,"SLOVACCA, REPUBBLICA",1138.15472222
200511,AUTUNNO,2005,SLOVENIA,66.1871623932
200511,AUTUNNO,2005,SPAGNA,1141.16616143
200511,AUTUNNO,2005,STATI UNITI D'AMERICA,2593.93161743
200511,AUTUNNO,2005,SVEZIA,1317.60528358
200511,AUTUNNO,2005,SVIZZERA,487.544722222
200511,AUTUNNO,2005,UNGHERIA,837.886936508
200512,INVERNO,2005,ARGENTINA,2194.16282692
200512,INVERNO,2005,AUSTRALIA,3968.99392647
200512,INVERNO,2005,AUSTRIA,749.234429224
200512,INVERNO,2005,BELGIO,892.318368852
200512,INVERNO,2005,BRASILE,2864.77798413
200512,INVERNO,2005,CANADA,2132.11191429
200512,INVERNO,2005,"CECA, REPUBBLICA",947.207954545
200512,INVERNO,2005,CINA REP.POP.,2685.24466667
200512,INVERNO,2005,DANIMARCA,1204.3078125
200512,INVERNO,2005,FINLANDIA,1135.38027027
200512,INVERNO,2005,FRANCIA,1000.10016216
200512,INVERNO,2005,GERMANIA,1047.25637517
200512,INVERNO,2005,GIAPPONE,2164.72411818
200512,INVERNO,2005,GRECIA,833.715166667
200512,INVERNO,2005,INDIA,1365.56333333
200512,INVERNO,2005,IRLANDA,1510.64411111
200512,INVERNO,2005,MESSICO,3430.47741935
200512,INVERNO,2005,NORVEGIA,2077.25137931
200512,INVERNO,2005,OLANDA,882.215533333
200512,INVERNO,2005,POLONIA,911.170136364
200512,INVERNO,2005,PORTOGALLO,1501.31793103
200512,INVERNO,2005,REGNO UNITO,995.38754803
200512,INVERNO,2005,ROMANIA,1348.62406452
200512,INVERNO,2005,RUSSIA,2885.09836667
200512,INVERNO,2005,"SLOVACCA, REPUBBLICA",1055.61666667
200512,INVERNO,2005,SLOVENIA,56.7005347594
200512,INVERNO,2005,SPAGNA,1214.36398482
200512,INVERNO,2005,STATI UNITI D'AMERICA,2961.38521186
200512,INVERNO,2005,SVEZIA,1266.99725
200512,INVERNO,2005,SVIZZERA,454.700790749
200512,INVERNO,2005,UNGHERIA,997.960586207
200601,INVERNO,2006,ARGENTINA,2521.21
200601,INVERNO,2006,AUSTRALIA,2935.66031156
200601,INVERNO,2006,AUSTRIA,718.989856459
200601,INVERNO,2006,BELGIO,997.47008547
200601,INVERNO,2006,BRASILE,2198.19293421
200601,INVERNO,2006,CANADA,1167.51311111
200601,INVERNO,2006,"CECA, REPUBBLICA",1024.20043478
200601,INVERNO,2006,CINA REP.POP.,2310.78348837
200601,INVERNO,2006,DANIMARCA,1243.26702941
200601,INVERNO,2006,FINLANDIA,2209.81481481
200601,INVERNO,2006,FRANCIA,823.349780366
200601,INVERNO,2006,GERMANIA,1006.20936639
200601,INVERNO,2006,GIAPPONE,1939.20398246
200601,INVERNO,2006,GRECIA,1303.0
200601,INVERNO,2006,INDIA,599.281222222
200601,INVERNO,2006,IRLANDA,937.043214286
200601,INVERNO,2006,MESSICO,3744.04113793
200601,INVERNO,2006,NORVEGIA,1968.09709091
200601,INVERNO,2006,OLANDA,1158.83333333
200601,INVERNO,2006,POLONIA,1167.64239535
200601,INVERNO,2006,PORTOGALLO,1900.63636364
200601,INVERNO,2006,REGNO UNITO,878.856044286
200601,INVERNO,2006,ROMANIA,2400.28703704
200601,INVERNO,2006,RUSSIA,3363.84210526
200601,INVERNO,2006,"SLOVACCA, REPUBBLICA",971.666666667
200601,INVERNO,2006,SLOVENIA,84.7418032787
200601,INVERNO,2006,SPAGNA,1273.80835381
200601,INVERNO,2006,STATI UNITI D'AMERICA,3026.68112604
200601,INVERNO,2006,SVEZIA,1282.71683099
200601,INVERNO,2006,SVIZZERA,682.03418638
200601,INVERNO,2006,UNGHERIA,958.383333333
200602,INVERNO,2006,ARGENTINA,2410.47344262
200602,INVERNO,2006,AUSTRALIA,2633.77912
200602,INVERNO,2006,AUSTRIA,440.974778325
200602,INVERNO,2006,BELGIO,738.394741379
200602,INVERNO,2006,BRASILE,2047.69695238
200602,INVERNO,2006,CANADA,1617.66006667
200602,INVERNO,2006,"CECA, REPUBBLICA",1079.33349206
200602,INVERNO,2006,CINA REP.POP.,1727.1409375
200602,INVERNO,2006,DANIMARCA,903.793368421
200602,INVERNO,2006,FINLANDIA,1793.94333333
200602,INVERNO,2006,FRANCIA,791.643115506
200602,INVERNO,2006,GERMANIA,935.134368499
200602,INVERNO,2006,GIAPPONE,1375.6056338
200602,INVERNO,2006,GRECIA,1187.53122807
200602,INVERNO,2006,INDIA,1115.61904762
200602,INVERNO,2006,IRLANDA,1019.18270588
200602,INVERNO,2006,MESSICO,2700.73686667
200602,INVERNO,2006,NORVEGIA,1509.2
200602,INVERNO,2006,OLANDA,1388.16324074
200602,INVERNO,2006,POLONIA,1107.50536364
200602,INVERNO,2006,PORTOGALLO,2253.72244444
200602,INVERNO,2006,REGNO UNITO,969.133157012
200602,INVERNO,2006,ROMANIA,2467.88354167
200602,INVERNO,2006,RUSSIA,1366.40263158
200602,INVERNO,2006,"SLOVACCA, REPUBBLICA",856.540540541
200602,INVERNO,2006,SLOVENIA,74.7317073171
200602,INVERNO,2006,SPAGNA,1526.79025559
200602,INVERNO,2006,STATI UNITI D'AMERICA,3628.82385221
200602,INVERNO,2006,SVEZIA,1138.94583333
200602,INVERNO,2006,SVIZZERA,508.206746835
200602,INVERNO,2006,UNGHERIA,855.0668
200603,PRIMAVERA,2006,ARGENTINA,3031.1975
200603,PRIMAVERA,2006,AUSTRALIA,2916.01943548
200603,PRIMAVERA,2006,AUSTRIA,693.305869565
200603,PRIMAVERA,2006,BELGIO,794.791774194
200603,PRIMAVERA,2006,BRASILE,2040.08954545
200603,PRIMAVERA,2006,CANADA,1402.54178992
200603,PRIMAVERA,2006,"CECA, REPUBBLICA",939.423403226
200603,PRIMAVERA,2006,CINA REP.POP.,2048.48689655
200603,PRIMAVERA,2006,DANIMARCA,1930.46647458
200603,PRIMAVERA,2006,FINLANDIA,2112.168
200603,PRIMAVERA,2006,FRANCIA,611.403622407
200603,PRIMAVERA,2006,GERMANIA,878.601167702
200603,PRIMAVERA,2006,GIAPPONE,1044.32691026
200603,PRIMAVERA,2006,GRECIA,1189.35484375
200603,PRIMAVERA,2006,INDIA,692.621081633
200603,PRIMAVERA,2006,IRLANDA,847.621029412
200603,PRIMAVERA,2006,MESSICO,1916.63226087
200603,PRIMAVERA,2006,NORVEGIA,1733.7467931
200603,PRIMAVERA,2006,OLANDA,1051.375625
200603,PRIMAVERA,2006,POLONIA,1158.63070313
200603,PRIMAVERA,2006,PORTOGALLO,2119.98708333
200603,PRIMAVERA,2006,REGNO UNITO,898.086625698
200603,PRIMAVERA,2006,ROMANIA,1881.20647321
200603,PRIMAVERA,2006,RUSSIA,2610.577
200603,PRIMAVERA,2006,"SLOVACCA, REPUBBLICA",550.474324324
200603,PRIMAVERA,2006,SLOVENIA,49.3190135135
200603,PRIMAVERA,2006,SPAGNA,1429.93034916
200603,PRIMAVERA,2006,STATI UNITI D'AMERICA,3012.62521982
200603,PRIMAVERA,2006,SVEZIA,1177.27393333
200603,PRIMAVERA,2006,SVIZZERA,497.236540201
200603,PRIMAVERA,2006,UNGHERIA,772.380654206
200604,PRIMAVERA,2006,ARGENTINA,2573.22883636
200604,PRIMAVERA,2006,AUSTRALIA,3016.99681553
200604,PRIMAVERA,2006,AUSTRIA,846.45883905
200604,PRIMAVERA,2006,BELGIO,1182.7276259
200604,PRIMAVERA,2006,BRASILE,1663.87876289
200604,PRIMAVERA,2006,CANADA,2167.68572024
200604,PRIMAVERA,2006,"CECA, REPUBBLICA",671.071451613
200604,PRIMAVERA,2006,CINA REP.POP.,2318.76318182
